contig ID,length,best subject sequence ID,taxonomy,percentage of identitcal matches,e-value,alignment length,number of mismatches,number of gap openings,start of alignment in query,end of alignment in query,start of alignment in subject,end of alignment in subject,bitscore
k141_297936,437,AXF52701.1 replication initiator protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",40.6,4.50E-10,101,48,4,293,9,96,190,74.3
k141_298233,418,AVX53571.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",45.4,2.80E-09,97,52,1,343,53,277,372,71.6
k141_298564,433,AWY06892.1 minor structural protein [Siphoviridae sp.],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Siphoviridae sp.",74.3,1.20E-44,144,37,0,2,433,30,173,189.1
k141_29873,3250,AWY11206.1 putative RNA-dependent RNA polymerase [Melbourne fly narnavirus 1],"root,Viruses,Riboviria,Narnaviridae,unclassified Narnaviridae,Melbourne fly narnavirus 1",25.2,1.80E-15,262,186,6,922,1707,250,501,95.1
k141_29900,475,AVX53445.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",31.3,1.10E-09,150,98,3,11,457,402,547,73.2
k141_299258,1795,"AIB06801.1 RNA-dependent RNA polymerase, partial [Fox fecal picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Fox fecal picobirnavirus",73.6,1.00E-233,526,127,3,176,1753,3,516,819.3
k141_29927,335,"APC23157.1 polyprotein, partial [Simian enterovirus J103]","root,Viruses,Riboviria,Picornavirales,Picornaviridae,Enterovirus,Enterovirus J,unclassified Enterovirus J,Simian enterovirus J103",62.2,7.90E-31,111,41,1,1,333,1369,1478,142.9
k141_299709,2578,"AVX53409.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",39.7,7.80E-102,589,301,12,1693,20,1,566,381.7
k141_300052,738,"AVX53501.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",51.8,5.60E-61,245,111,4,17,736,7,249,244.2
k141_300297,8114,YP_009026384.1 polyprotein [Mosavirus A2],"root,Viruses,Riboviria,Picornavirales,Picornaviridae,Mosavirus,Mosavirus A,Mosavirus A2",56,0.00E+00,2580,968,37,701,8032,1,2549,2721.4
k141_300299,330,YP_009333146.1 RNA-dependent RNA polymerase [Beihai narna-like virus 26],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Beihai narna-like virus 26",37.3,1.30E-06,67,42,0,201,1,7,73,62.4
k141_301164,402,AXL15106.1 replication initiator protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",40.4,3.20E-10,99,57,1,71,367,45,141,74.7
k141_301171,627,YP_009305432.1 Coat protein [Privet leaf blotch-associated virus],"root,Viruses,Riboviria,Idaeovirus,unclassified Idaeovirus,Privet leaf blotch-associated virus",93,1.00E-79,172,12,0,2,517,97,268,306.2
k141_301727,588,YP_009337339.1 hypothetical protein [Hubei tetragnatha maxillosa virus 3],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Hubei tetragnatha maxillosa virus 3",53.4,3.00E-49,193,85,1,8,586,468,655,204.9
k141_302339,452,ANJ61324.1 capsid protein precursor [Mamastrovirus 3],"root,Viruses,Riboviria,Astroviridae,Mamastrovirus,Mamastrovirus 3",49.4,1.10E-35,156,68,3,1,450,225,375,159.5
k141_30267,563,AWY06893.1 major capsid protein E [Siphoviridae sp.],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Siphoviridae sp.",88.1,8.80E-83,176,21,0,3,530,163,338,316.2
k141_302682,437,"AWV66996.1 RdRp, partial [Lysoka partiti-like virus]","root,Viruses,Riboviria,Picobirnaviridae,unclassified Picobirnaviridae,Lysoka partiti-like virus",54.1,3.90E-30,135,61,1,425,21,21,154,141
k141_303471,745,AZT88622.1 RNA-dependent RNA polymerase [Loramyces juncicola mitovirus 1],"root,Viruses,Riboviria,Narnaviridae,Mitovirus,unclassified Mitovirus,Loramyces juncicola mitovirus 1",29.4,5.50E-08,163,90,6,469,5,246,391,68.2
k141_30347,883,YP_007003422.1 DNA helicase [Bacillus phage SP-10],"root,Viruses,Caudovirales,Herelleviridae,Spounavirinae,unclassified Spounavirinae,Bacillus phage SP-10",59.6,1.90E-07,57,23,0,1,171,510,566,66.6
k141_303683,795,YP_009303699.1 RNA-dependent RNA polymerase [Lishi Spider Virus 2],"root,Viruses,Riboviria,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,Lispiviridae,Arlivirus,Lishi arlivirus,Lishi Spider Virus 2",65.7,1.10E-94,265,90,1,795,1,963,1226,356.3
k141_304039,494,ARQ16001.1 putative VP1 [Human gut gokushovirus],"root,Viruses,Microviridae,Gokushovirinae,unclassified Gokushovirinae,Human gut gokushovirus",45.8,3.10E-39,168,86,1,493,5,16,183,171.4
k141_304193,555,EGV07820.1 DNA adenine methylase [Streptococcus constellatus subsp. pharyngis SK1060 = CCUG 46377],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Streptococcus phage Javan112",67.4,2.70E-44,132,43,0,396,1,1,132,188.3
k141_304516,307,YP_009590724.1 hypothetical protein [Campylobacter virus IBB35],"root,Viruses,Caudovirales,Myoviridae,Eucampyvirinae,Firehammervirus,Campylobacter virus IBB35",56.7,4.60E-09,60,25,1,298,119,210,268,70.5
k141_304792,392,AZT88623.1 RNA-dependent RNA polymerase [Ophiocordyceps sinensis mitovirus 1],"root,Viruses,Riboviria,Narnaviridae,Mitovirus,unclassified Mitovirus,Ophiocordyceps sinensis mitovirus 1",61.5,1.50E-25,104,40,0,57,368,36,139,125.6
k141_305835,534,XP_028611443.1 LOW QUALITY PROTEIN: endogenous retrovirus group K member 10 Gag polyprotein [Grammomys surdaster],"root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Grammomys,Grammomys surdaster",65.7,3.20E-34,108,37,0,206,529,132,239,154.8
k141_305981,9620,"AWK77891.1 polyprotein, partial [Perth bee virus 8]","root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Perth bee virus 8",23.9,3.60E-152,2735,1630,78,7717,119,234,2719,550.8
k141_306833,561,YP_009345054.1 hypothetical protein 1 [Wuhan millipede virus 3],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Wuhan millipede virus 3",65.4,5.20E-67,188,64,1,561,1,1637,1824,263.8
k141_307105,1675,AVX53281.1 RNA-dependent RNA polymerase [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",69.8,1.50E-242,567,156,3,1657,2,1,567,848.6
k141_307150,1118,AVX53463.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",43.9,3.50E-83,380,199,6,11,1117,45,421,318.5
k141_307259,348,WP_005936248.1 host-nuclease inhibitor protein Gam [Faecalibacterium prausnitzii],"root,Viruses,Caudovirales,Myoviridae,unclassified Myoviridae,Faecalibacterium phage FP_Mushu",86.6,2.20E-23,67,9,0,225,25,106,172,118.2
k141_307329,356,AVX53748.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",49.2,1.70E-23,118,60,0,354,1,232,349,118.6
k141_30780,901,YP_009329996.1 hypothetical protein 2 [Hubei sobemo-like virus 47],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Hubei sobemo-like virus 47",55.9,7.20E-103,299,131,1,900,4,42,339,383.6
k141_308020,699,AWY06847.1 KID repeat-containing protein [Siphoviridae sp.],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Siphoviridae sp.",69.7,3.90E-40,119,36,0,342,698,16,134,174.9
k141_308120,357,DAB41749.1 TPA_inf: RNA-dependent RNA polymerase [Humulus lupulus mitovirus 1],"root,Viruses,Riboviria,Narnaviridae,Mitovirus,unclassified Mitovirus,Humulus lupulus mitovirus 1",46.8,1.70E-07,77,36,1,4,234,444,515,65.5
k141_308284,548,"AIW53313.1 RNA-dependent RNA polymerase, partial [Picobirnavirus HK-2014]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Picobirnavirus HK-2014",82.9,2.70E-84,175,30,0,3,527,19,193,321.2
k141_308355,469,AVX53573.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",42.5,1.90E-22,153,73,4,452,15,389,533,115.5
k141_308862,1628,AVX53270.1 RNA-dependent RNA polymerase [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",61.6,9.10E-189,526,188,6,1570,5,1,516,669.8
k141_309059,1687,"AMQ23537.1 maturation, partial [Leviviridae sp.]","root,Viruses,Riboviria,Leviviridae,unclassified Leviviridae,Leviviridae sp.",38.1,1.70E-12,126,71,4,97,453,327,452,84.3
k141_309186,1489,"AXL64616.1 RNA-dependent RNA polymerase protein, partial [Chicken picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Chicken picobirnavirus",76.6,8.80E-223,470,110,0,80,1489,1,470,782.7
k141_309720,406,ATY47698.1 polyprotein [Picornavirales sp.],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales sp.",63,7.40E-39,135,44,2,2,406,649,777,169.9
k141_309724,666,AVX53395.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",41.5,1.40E-26,188,102,3,657,115,276,462,129.8
k141_310028,449,AXH74522.1 hypothetical protein [CrAssphage sp.],"root,Viruses,Caudovirales,Podoviridae,unclassified Podoviridae,crAss-like viruses,CrAssphage sp.",83.8,1.30E-49,117,19,0,353,3,1,117,205.7
k141_31004,5681,YP_009344965.1 hypothetical protein 2 [Jingmen tombus-like virus 2],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Jingmen tombus-like virus 2",37.7,1.20E-73,456,252,10,3376,2018,53,479,289.3
k141_310164,406,AXF52494.1 hypothetical protein [Siphoviridae sp.],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Siphoviridae sp.",62.6,5.70E-15,99,36,1,346,50,1,98,90.5
k141_310257,382,YP_009283031.1 virion protein [Bacillus phage AR9],"root,Viruses,Caudovirales,Myoviridae,unclassified Myoviridae,Bacillus phage AR9",57.1,1.40E-36,126,54,0,382,5,40,165,162.2
k141_310480,434,ATY47698.1 polyprotein [Picornavirales sp.],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales sp.",67.4,6.00E-55,144,47,0,434,3,1105,1248,223.4
k141_310615,425,YP_007005960.1 putative ATP-dependent DNA ligase [Bacillus phage BCD7],"root,Viruses,Caudovirales,Myoviridae,unclassified Myoviridae,Bacillus phage BCD7",43.9,2.40E-16,139,74,2,8,424,95,229,95.1
k141_310939,658,"AXQ62697.1 thymidylate synthase, flavin-dependent [Bacteroides phage crAss001]","root,Viruses,Caudovirales,Podoviridae,unclassified Podoviridae,crAss-like viruses,Bacteroides phage crAss001",37.5,3.90E-13,112,63,3,292,627,161,265,85.1
k141_310992,1767,"QBO24280.1 RNA-dependent RNA polymerase, partial [Canine astrovirus]","root,Viruses,Riboviria,Astroviridae,Mamastrovirus,unclassified Mamastrovirus,Canine astrovirus",64.8,8.50E-140,355,122,2,1767,712,153,507,507.3
k141_312065,2044,AVX53679.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",37.3,1.90E-90,641,357,16,221,2044,39,667,343.6
k141_313021,1951,"BBC20586.1 capsid protein, partial [Picobirnavirus sp.]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Picobirnavirus sp.",46,2.80E-83,378,195,6,534,1658,75,446,319.7
k141_313092,580,AVX53433.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",44,8.00E-39,193,103,3,1,576,224,412,170.2
k141_313481,334,XP_017652602.1 PREDICTED: LOW QUALITY PROTEIN: endogenous retrovirus group K member 9 Pol protein-like [Nannospalax galili],"root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Spalacidae,Spalacinae,Nannospalax,Nannospalax galili",76.6,2.20E-17,64,11,1,77,256,623,686,98.2
k141_313542,421,"AVX53409.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",53.3,3.80E-14,90,38,3,163,420,25,114,87.8
k141_313749,397,AXF52089.1 major capsid protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",72.2,5.50E-47,133,35,2,397,5,418,550,196.8
k141_314288,282,"AVX29481.1 polyprotein, partial [Marmot cardiovirus]","root,Viruses,Riboviria,Picornavirales,Picornaviridae,Cardiovirus,unclassified Cardiovirus,Marmot cardiovirus",86.2,1.30E-42,94,13,0,282,1,1752,1845,181.8
k141_314466,324,AFB75852.1 hypothetical protein 2200_scaffold2278_00035 [unidentified phage],"root,Viruses,unclassified viruses,unclassified bacterial viruses,unidentified phage",72.9,1.10E-40,107,29,0,324,4,55,161,175.6
k141_314538,4230,"AMQ23539.1 replicase, partial [Leviviridae sp.]","root,Viruses,Riboviria,Leviviridae,unclassified Leviviridae,Leviviridae sp.",31.8,5.70E-57,554,339,12,2284,3843,45,593,233.4
k141_314700,339,AFB75607.1 hypothetical protein 1013_scaffold3125_00029 [unidentified phage],"root,Viruses,unclassified viruses,unclassified bacterial viruses,unidentified phage",69,5.30E-06,42,12,1,213,338,1,41,60.5
k141_314781,1714,AXQ66152.1 major capsid protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",49.8,1.40E-67,269,128,4,1664,858,476,737,267.3
k141_314901,552,AFB75817.1 hypothetical protein 2200_scaffold1335_00016 [unidentified phage],"root,Viruses,unclassified viruses,unclassified bacterial viruses,unidentified phage",59.1,9.80E-10,66,27,0,200,3,501,566,73.6
k141_314950,435,WP_097786177.1 DUF927 domain-containing protein [Faecalibacterium prausnitzii],"root,Viruses,Caudovirales,Myoviridae,unclassified Myoviridae,Faecalibacterium phage FP_Epona",66,2.00E-50,144,49,0,2,433,155,298,208.4
k141_315074,306,AXF52204.1 recombinase [CrAssphage sp.],"root,Viruses,Caudovirales,Podoviridae,unclassified Podoviridae,crAss-like viruses,CrAssphage sp.",88.1,1.30E-48,101,12,0,304,2,105,205,201.8
k141_315079,4042,AOG30806.1 replicase [ssRNA phage DC],"root,Viruses,unclassified viruses,unclassified bacterial viruses,ssRNA phage DC",29,2.40E-33,510,308,16,2025,3455,1,489,154.8
k141_315617,765,ATY47698.1 polyprotein [Picornavirales sp.],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales sp.",66.1,1.70E-92,254,81,2,3,764,592,840,349
k141_315653,1673,AVA30700.1 RNA-dependent RNA polymerase [Picobirnavirus sp.],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Picobirnavirus sp.",46.3,1.10E-120,533,257,10,124,1662,28,551,443.7
k141_315660,594,AVX53785.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",55.5,2.60E-48,191,74,4,3,572,389,569,201.8
k141_315856,628,AXL64604.1 capsid protein [Chicken picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Chicken picobirnavirus",49.7,2.60E-43,179,86,2,544,8,89,263,185.3
k141_316109,480,AXH78157.1 major capsid protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",48.8,2.60E-14,125,51,6,107,478,185,297,88.6
k141_316452,2602,AVX53559.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",34.9,1.20E-70,590,317,19,1782,64,4,543,278.1
k141_316952,1240,YP_009336490.1 hypothetical protein 3 [Hubei tombus-like virus 4],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Hubei tombus-like virus 4",36.9,1.30E-25,217,129,4,858,214,16,226,127.5
k141_317074,569,AWY06864.1 putative tail fiber protein [Siphoviridae sp.],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Siphoviridae sp.",69.4,7.60E-50,183,52,2,31,567,68,250,206.8
k141_317087,374,WP_005936353.1 hypothetical protein [Faecalibacterium prausnitzii],"root,Viruses,Caudovirales,Myoviridae,unclassified Myoviridae,Faecalibacterium phage FP_Mushu",79.8,3.30E-46,124,25,0,2,373,213,336,194.1
k141_317145,2616,"AVX53409.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",45.1,1.00E-117,576,261,14,932,2524,1,566,434.5
k141_317202,353,ATY47698.1 polyprotein [Picornavirales sp.],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales sp.",71.8,6.60E-44,117,33,0,1,351,1130,1246,186.4
k141_317284,1035,XP_017457666.1 PREDICTED: LOW QUALITY PROTEIN: endogenous retrovirus group K member 18 Pol protein-like [Rattus norvegicus],"root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Rattus,Rattus norvegicus",81,1.00E-161,342,65,0,10,1035,441,782,579.3
k141_317311,2091,AXH76530.1 major capsid protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",78.2,1.90E-61,142,31,0,1665,2090,1,142,247.3
k141_317358,1869,"AVX53409.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",48.6,7.90E-104,434,184,8,661,1860,3,431,387.9
k141_317857,413,"AWU66040.1 capsid protein, partial [Picobirnavirus sp.]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Picobirnavirus sp.",36.6,2.40E-21,134,85,0,10,411,61,194,111.7
k141_317928,307,AWY06853.1 carbohydrate binding domain/collagen triple helix repeat protein [Siphoviridae sp.],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Siphoviridae sp.",91.5,1.70E-16,47,4,0,167,307,1,47,95.1
k141_317992,1380,"AIB06801.1 RNA-dependent RNA polymerase, partial [Fox fecal picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Fox fecal picobirnavirus",69.5,3.80E-188,459,128,3,2,1378,12,458,667.5
k141_318034,663,AXH76530.1 major capsid protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",35.4,1.90E-23,189,107,4,64,627,1,175,119.4
k141_318280,1616,APG78297.1 RdRp [Hubei partiti-like virus 53],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Hubei partiti-like virus 53",38,1.70E-62,366,216,6,349,1437,39,396,250.4
k141_318581,348,AXF52273.1 major capsid protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",56.2,9.50E-19,80,35,0,241,2,15,94,102.8
k141_318786,441,AVX53268.1 RNA-dependent RNA polymerase [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",81.7,1.00E-62,142,26,0,1,426,379,520,249.2
k141_318877,352,AFB76108.1 hypothetical protein 2209_scaffold1451_00034 [unidentified phage],"root,Viruses,unclassified viruses,unclassified bacterial viruses,unidentified phage",61.2,1.20E-29,116,44,1,2,349,32,146,139
k141_318994,432,WP_005936300.1 hypothetical protein [Faecalibacterium prausnitzii],"root,Viruses,Caudovirales,Myoviridae,unclassified Myoviridae,Faecalibacterium phage FP_Mushu",52.1,2.60E-10,73,33,1,103,321,1,71,75.1
k141_319017,376,AVX53264.1 RNA-dependent RNA polymerase [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",62.2,1.30E-34,119,45,0,11,367,7,125,155.6
k141_319332,466,DAC76945.1 TPA_inf: RNA-dependent RNA polymerase [Entomophthora muscae mitovirus 6],"root,Viruses,Riboviria,Narnaviridae,Mitovirus,unclassified Mitovirus,Entomophthora muscae mitovirus 6",41.5,2.80E-18,135,68,3,62,466,323,446,101.7
k141_319534,610,ATY47698.1 polyprotein [Picornavirales sp.],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales sp.",87.1,3.20E-102,202,26,0,609,4,456,657,380.9
k141_320250,344,"AWU66040.1 capsid protein, partial [Picobirnavirus sp.]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Picobirnavirus sp.",54.4,2.20E-28,114,52,0,344,3,93,206,134.8
k141_320364,388,AFB75751.1 hypothetical protein 2016_scaffold57_00075 [unidentified phage],"root,Viruses,unclassified viruses,unclassified bacterial viruses,unidentified phage",74.8,4.90E-48,127,32,0,386,6,86,212,200.3
k141_320366,497,AVX53443.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",62.7,2.20E-53,166,60,2,1,495,214,378,218.4
k141_320375,505,ATY47698.1 polyprotein [Picornavirales sp.],"root,Viruses,Riboviria,Picornavirales,unclassified Picornavirales,Picornavirales sp.",61.4,9.40E-52,166,60,1,2,499,722,883,213
k141_320456,419,AWY06864.1 putative tail fiber protein [Siphoviridae sp.],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Siphoviridae sp.",66.1,4.80E-25,121,41,0,364,2,69,189,124
k141_320585,484,"AWU66040.1 capsid protein, partial [Picobirnavirus sp.]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Picobirnavirus sp.",50.3,4.60E-40,155,77,0,467,3,12,166,174.1
k141_320650,362,AWY06846.1 KID repeat-containing protein [Siphoviridae sp.],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Siphoviridae sp.",80.7,1.50E-43,114,20,1,359,24,39,152,185.3
k141_320854,542,AVX53561.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",30.5,1.70E-06,197,87,7,510,1,416,589,62.8
k141_321667,433,AXH76244.1 major capsid protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",54.4,6.70E-14,68,31,0,227,430,26,93,87
k141_321673,340,XP_021516436.1 endogenous retrovirus group FC1 Env polyprotein-like isoform X1 [Meriones unguiculatus],"root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Meriones,Meriones unguiculatus",62.8,6.20E-31,113,42,0,340,2,135,247,143.3
k141_321828,725,AVX53307.1 putative capsid [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",49.8,5.10E-59,241,111,3,722,3,178,409,237.7
k141_322191,439,APZ82392.1 ATP-dependent DNA ligase [Bacillus phage vB_BsuM-Goe2],"root,Viruses,Caudovirales,Herelleviridae,Spounavirinae,Okubovirus,unclassified Okubovirus,Bacillus virus vB_BsuM-Goe2,Bacillus phage vB_BsuM-Goe2",37.6,4.50E-18,125,68,2,433,59,101,215,100.9
k141_322479,673,AWY06843.1 hypothetical protein [Siphoviridae sp.],"root,Viruses,Caudovirales,Siphoviridae,unclassified Siphoviridae,Siphoviridae sp.",56.8,1.10E-15,111,46,2,196,525,5,114,93.6
k141_322712,570,YP_009333146.1 RNA-dependent RNA polymerase [Beihai narna-like virus 26],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Beihai narna-like virus 26",32.3,2.80E-12,155,88,4,462,22,7,152,82
k141_322850,425,"AVX53819.1 putative capsid, partial [Marmot picobirnavirus]","root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",78.7,1.30E-57,141,29,1,6,425,110,250,232.3
k141_32289,589,AVX53271.1 RNA-dependent RNA polymerase [Marmot picobirnavirus],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Marmot picobirnavirus",57.1,8.10E-63,212,74,3,2,589,290,500,250
k141_323249,649,QBJ04628.1 RNA-dependent RNA polymerase [Tasmanian devil-associated picobirnavirus 5],"root,Viruses,Riboviria,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus,Tasmanian devil-associated picobirnavirus 5",69.4,7.50E-78,206,63,0,648,31,336,541,300.1
k141_323841,473,YP_009336575.1 hypothetical protein [Hubei picorna-like virus 29],"root,Viruses,Riboviria,unclassified Riboviria,unclassified RNA viruses ShiM-2016,Hubei picorna-like virus 29",39.4,4.60E-16,137,78,2,14,424,617,748,94.4
k141_324505,2444,AXH73645.1 major capsid protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",37,1.40E-63,438,183,10,2129,816,154,498,254.6
k141_324543,312,AXF52770.1 major capsid protein [Microviridae sp.],"root,Viruses,Microviridae,unclassified Microviridae,Microviridae sp.",52.9,1.60E-12,87,37,2,4,255,469,554,82
